test_domain,ensemble_accuracy,ensemble_precision,ensemble_recall,ensemble_f1,ensemble_roc_auc,best_base_f1,improvement,imdb_f1,amazon_f1,yelp_f1
imdb,0.9302,0.9317543155359294,0.9284,0.9300741334401923,0.97987404,0.9278432940235859,0.22308394166064005,0.9190267251695253,0.9278432940235859,0.8687565308254963
amazon,0.96749625,0.9663641510233907,0.96871,0.9675356536004425,0.9914492191187498,0.9704961801527939,-0.2960526552351461,0.9213028903740781,0.9704961801527939,0.941623108527783
yelp,0.9564962917750148,0.9474495148177289,0.9666047927222863,0.956931303649623,0.9906475413370578,0.9693953636447415,-1.246405999511857,0.9079149140316459,0.9452615246417051,0.9693953636447415
